Author,PublishedAt,Comment,Likes
@DirtyVote,2024-02-26T10:46:36Z,"TimeStamp Film:<br><br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE"">00:00:00</a> Opening<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=755"">00:12:35</a> Peta Suara Sumatera Pilpres 2014 dan 2019<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=827"">00:13:47</a> Pemecahan Papua menjadi 6 Provinisi<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1006"">00:16:46</a> Penunjukan 20 PJ Gubernur dan 82 PJ Walikota/Bupati dipilih Presiden<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=910"">00:15:10</a> Kewenangan yang dimiliki Jenderal Tito Karnavian<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1081"">00:18:01</a> Pelanggaran keputusan MK dalam penunjukan kepala daerah<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1185"">00:19:45</a> Relasi PJ Gubernur dengan presiden<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1300"">00:21:40</a> Kecenderungan tidak netral PJ Gubernur<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1375"">00:22:55</a> Kecenderungan tidak netral PJ Bupati<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1517"">00:25:17</a> Kewenangan PJ Kepala Daerah melarang kampanye<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1533"">00:25:33</a> Kontroversi deklarasi desa bersatu untuk paslon tertentu<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1721"">00:28:41</a> Politisasi kasus penyelewengan dana desa<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=1842"">00:30:42</a> Tekanan kepada kepala desa untuk mendukung paslon tertentu<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=2120"">00:35:20</a> Fakta bansos jelang pemilu<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=2308"">00:38:28</a> Gaji ASN, Polri, dan pensiunan PNS naik di 2024<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=2400"">00:40:00</a> Pengabaian data kemensos dalam penyaluran bansos<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=2520"">00:42:00</a> Bansos digunakan sebagai alat politik<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=3180"">00:53:00</a> Presiden tidak netral<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=3350"">00:55:50</a> Presiden dan menteri-menteri di pihak koalisi 02<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=3452"">00:57:32</a> Bawaslu dan KPU tidak profesional<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=4440"">01:14:00</a> Dugaan pelanggaran KPU<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=4535"">01:15:35</a> Hubungan putusan Mahkamah Konstitusi dan pelanggaran KPU<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=4610"">01:16:50</a> Ketua KPU mendapat peringatan keras berkali-kali<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=4680"">01:18:00</a> Kontroversi putusan Mahkamah Konstitusi<br><a href=""https://www.youtube.com/watch?v=RRgLZ66NCmE&amp;t=6816"">01:53:36</a> Closing dan kesimpulan ketiga ahli hukum tata negara",190
@hil6578,2025-03-16T05:28:13Z,Kenapa baru tau sekarang kl ada film ini 🙊...,0
@AfuiSantoso,2025-03-14T05:23:01Z,Film yg isi nya  sampah  semua  ..😂😂😂,0
@AfuiSantoso,2025-03-14T05:17:31Z,Film provokator  terburuk  ... 😂😂😂😂,0
@rifanalwi7668,2025-03-09T13:17:05Z,Masih Terpantau wkwk,0
@krisyantoyenoni,2025-03-07T18:43:40Z,Indonesia ini hebat sekali<br>Bahkan pertarungan belum dimulai kecurangan sudah terjadi<br>Film ini ternyata hanyalah opini sampah 😭,0
@Bngyda,2025-03-05T16:03:25Z,DAN INI BENER BENER NYATA TERJADI. KARNA PRESIDEN TELAH BILANG SENDIRI KALAU DIA MENANG ATAS BANTUAN MULYONO !!!,1
@Meaculpa100,2025-03-04T07:30:01Z,Kesini lagi untuk menyematkan komentar &quot;Hidup Jokowi..Hidup Jokowi&quot; (ujar presiden terpilih),3
@SemutIreng-g9f,2025-02-27T16:58:53Z,Up,0
@ernifatunmarif,2025-02-25T13:43:20Z,"Kembali nonton film keren ini, setelah liat kebijakan pemerintah sekarang😢",2
@bekassarjana,2025-02-24T10:57:16Z,Up,0
@bekassarjana,2025-02-24T10:57:08Z,Up,0
@bekassarjana,2025-02-24T10:56:51Z,Taeee assueee,0
@yurnirahayuningsih9195,2025-02-24T04:53:57Z,Terjawab sudah dengan fakta akhir-akhir ini... Shubhaanallaah...,0
@MasBashir-r4m,2025-02-22T16:27:16Z,PANJANG UMUR PERJUANGAN!!!,1
@anaksumbadisingapura5634,2025-02-22T03:54:44Z,Gara2 ucapan terimakasih balik lagi kesini,0
@ridhorifadha,2025-02-19T17:46:03Z,geleng geleng kepala gw liat situasi negara ini,0
@muhammadrezafahlevi6843,2025-02-19T06:04:28Z,"nonton lagi video lama, mayan buat hiburan, walaupun rada kesel dikit liat kondisi negara ini",0
@hermanaje7401,2025-02-19T05:55:38Z,Perjuangan NKRI,0
@jokopurwanto8019,2025-02-18T05:57:10Z,Pidato Prabowo di Rapimnas Partai Gerinda 2025 membuktikan kebenaran Dirty Vote,3
@latifaazahra4818,2025-02-17T16:37:02Z,DATAA FAKTA!!!,2
@epkafe,2025-02-17T10:23:40Z,nonton sekarang jadi terang benderang semua,1
@satriodwiirawan,2025-02-16T02:22:14Z,Udah ada data seterang ini aja masih banyak yang oke gas. Guwoblokkk,7
@NozakiUmetarou,2025-02-13T09:35:39Z,"Selamat ulang tahun yang pertama untuk Dirty Vote. Film yang mengubah banyak pandangan orang terhadap proses demokrasi di negeri ini. Percayalah, harapan akan selalu tumbuh untuk negeri yang semakin hari semakin runtuh.",1
@Fufufafa207,2025-02-13T03:13:38Z,Setelah si wowo di lantik. Gw bisa ketawain voter 02 yang antri gas dan yang terkena PHK karena efisiensi anggaran 😂,1
@rizkafarahsabila4064,2025-02-13T02:42:05Z,Panjang umur perjuangan.,0
@TaqrifanWicaksonoXII3,2025-02-08T03:02:05Z,"Sedih aja ngelihat kondisi negara sekarang, panjang umur perjuangan!",1
@sherlyayundya862,2025-01-31T13:24:39Z,Dan film ini tdk ngaruh terbukti 02 tetap menang😂😂😂,2
@kilurahsemarpegawaijalanan9700,2025-01-12T15:56:58Z,Dirty vote ini cocok. Untuk kanal Demokrasi yg di isi orang&quot; kompeten di bidangnya sbagai pembelajaran public kenapa senyap ???,0
@WawanNawuka-j5f,2024-12-28T02:36:07Z,BUKAN RAHASIA UMUM SEMUA ORANG TAHU PEMAINYA ORANG2 PARTISAN JADI YA SULIT MAU NGADALIN ORANG LAIN😅,0
@fionadanastri6188,2024-12-22T11:56:31Z,Udah capek2 bikin film eh keok juga jagoanya😂😂😂,4
@fionadanastri6188,2024-12-22T11:53:04Z,Ini film yg bikin keok Anis sama Ganjar ya😂,2
@Bottt01,2024-12-04T06:48:58Z,kebnyakan orang asal milih,0
@ganschan,2024-12-03T02:05:55Z,Yang milih 02 berarti setuju dengan perusak konstitusi,1
@krishnawidardjo5777,2024-11-27T08:49:41Z,Martir gagal.,0
@naikkelas7495,2024-10-27T13:29:45Z,Sementara itu Jokowi sedang makan bakso menikmati damainya masa pensiun plus tunjangan 60jt/bln hahaha. Dagelan,0
@yanseenji4651,2024-10-26T17:38:14Z,Kesini balik lagi,0
@riyancaniago9282,2024-10-26T15:45:16Z,"<a href=""https://youtube.com/@riyancaniago9282?feature=shared"">https://youtube.com/@riyancaniago9282?feature=shared</a>",0
@evdardi2590,2024-10-22T01:58:44Z,Alat yg gagal total untuk menggerakan rakyat..hahahaha,1
@jackperson7548,2024-09-28T05:32:58Z,Meskipun pilpres sudah terlewat film ini akan menjadi pengingat sekaligus peringatan bagi siapapun yang telah dibutakan oleh rezim,1
@LEWOKOLILEWO,2024-09-27T01:14:50Z,Hahahaha Lucu,1
@LEWOKOLILEWO,2024-09-24T11:36:52Z,Menyesal. Hasil akhirnya kua kosong film ini,1
@LEWOKOLILEWO,2024-09-24T11:35:45Z,Omong banyak. Kena Prank,1
@andikaatmaja-iy3mp,2024-08-27T06:26:32Z,TONGGAK SEJARAH,0
@oloolochanellofficial1797,2024-08-25T18:05:46Z,Berawal dari Kasian deh Pak Jokowi kalo ga ada PDI . ( Di permalukan di depan Umum ) Ntr giliran anies di gituin sama PDI .,1
@cloudstrife-h2p,2024-08-24T07:40:37Z,"kembali lagi, film ini terbukti nyata sampai sekarang. ternyata betul kata mereka, cuma orang G0bl0g yg dulu memilih <b>sensor</b>",10
@albarkah3556,2024-08-23T18:53:55Z,"Peringatan darurat di bulan agustus 2024, lekas sembuh negeriku 😢",2
@myuuu7417,2024-08-22T20:17:48Z,"Nonton lagi, setelah terjadi &quot;Peringatan Darurat!&quot;. <br>Bersyukur, adanya kejadian seperti ini, gw jadi melek politik.<br>Plis jangan sampe Video ini hilang/dihapus buat belajar, biar semua melek sama politik.<br><br>Kam, 22 Agt",19
@sgtriius8317,2024-08-22T14:29:57Z,Trmksih untuk org2 yg berjasa dlm pembuatan dokumenter ini. Akhirnya saya kembali lagi kesini ketika Indonesia sedang dlm peringatan darurat.,30
@frmusic8717,2024-08-22T03:12:15Z,Halo guis? Apakah masih ada yang bela? Sehat kalian para 58%?,8
@Mdz.albjr000,2024-08-16T21:14:11Z,"17 Agustus 2024 dan saya masih menonton film ini ,Jokowi adalah VOC.",4
@Tmobil4576,2024-08-11T01:20:19Z,Makamah international membatalkan Prabowo Gibran president. MANTAP,0
@Tmobil4576,2024-08-11T01:17:48Z,"Kalau indo perang saudara <br>Kabur ke mana?<br>Australia,",0
@daunbiru2534,2024-08-05T00:41:13Z,Film ini yg buat suara ganjar-mahfud jeblok XD<br>Nyuruh dosen gaji UMR bikin film propaganda itu kesalahan fatal,1
@ZulBravo-b8i,2024-08-04T03:44:49Z,Siapapun presidennya yg penting dapat bansos😆,0
@ZulBravo-b8i,2024-08-04T03:37:56Z,Menonton ulang video ini makin sadar sy lebih pintar,0
@Corazonbegitulah2309,2024-07-25T12:01:13Z,2 jam yang sia sia ga ngerubah hasil😂😂,0
@mochmaftuh9337,2024-07-21T01:26:41Z,Politik paling bego,0
@mochmaftuh9337,2024-07-21T01:26:15Z,Hanya demi melanggengkan kekuasaan,0
@mochmaftuh9337,2024-07-21T01:25:19Z,Pemilu paling brutal di abad ini,0
@tutelnaufal3123,2024-07-04T14:54:58Z,58% iq otak udang tak bisa cerna isi video ini😂,7
@ahmadimannudin2383,2024-06-30T04:18:53Z,Untung masih ada videonya dan gak dihapus,0
@actvient,2024-06-12T01:52:30Z,"saya datang terlambat kesini, andai dulu nonton video ini",0
@rakyatindonesiabiasa,2024-06-11T05:37:26Z,Rewatch !!!,0
@AkuCape-jd4pi,2024-06-10T12:49:02Z,"MAU NGAKAK DIKASIH NIH VIDIO BUAT PILIH YANG CERDAS MALAH PILIH 02, SEMANGAT DIRTY VOTE SEKARANG SUDAH TERBUKTI TUNGGU SAMPAI TAHUN BERIKUTNYA DAN SETERUSNYA INDONESIA BAKALAN SUSAH😠👊",2
@Lucifer.SamaelMorningstar,2024-06-09T07:04:52Z,Menang merayakan<br>Kalah menjelaskan,1
@GlitchMeID,2024-06-07T04:04:47Z,Miris banget ngeliat negara yang kaya akan sumber daya alam nya tapi pemerintah nya goblok bukan maen.,7
@rizkihparamaputri9984,2024-06-03T13:12:00Z,"Ngaku ngga, ada penulis bang tere liye yg terlibat di produksi film pendek ini. Buku TBJP itu kisah nyata kan sebenernya? (Pdhl baru baca buku bbrp halaman doang ini ya Allah, tp udah mangkel)",1
@FZ-Alysz,2024-06-02T02:52:16Z,ga mempan dek,1
@spookid8252,2024-05-22T14:21:54Z,"dan sekarang sudah mulai terasa UKT naik, pegasus ( alat penyadap) dah masuk dan kita liat cawe&quot; keluarga yang mulia jokowi untuk pilgub di negeri nya paman usman (Wakanda).",2
@Jorkolojor,2024-05-18T03:02:21Z,Biarkan filem ini menjadi sejarah tuntunan atas kebenaran itu sendiri memanusiakan manusia seutuhnya tidak membela pihak mana pun,1
@endangwulandari8120,2024-05-12T17:45:25Z,ah kocak😂,0
@ryanyk9558,2024-05-09T23:40:10Z,Terimakasih❤❤❤,1
@ryanyk9558,2024-05-09T23:39:12Z,Film edukasi yang keren. Mencerdaskan bangsa tentang kebusukan pemimpin negara saat ini. Tapi kita bisa apa sekarang. Tinggal tunggu pengadilan akhirat untuk pemimpin dzolim 🦉🦉🦉,2
@DendroSlimeR,2024-05-05T03:51:16Z,"nanti kedepannya pasti yg jdi presiden dan wakil yg ada keturunan ama presiden sebelumnya,  buat apa demokrasi klo dari awal sudah di atur. sekalian aja hpus demokrasi jdi negara raja",4
@eatfunandhappiness6129,2024-05-03T18:18:09Z,"wkwkwkw... anu kepriwe jane, ribet nemen...🤣🤣🤣",0
@HaryoSenoWerkudoro,2024-05-01T23:03:03Z,"FILM DIRTY VOTE DISEBARKAN PADA MASA TENANG JELANG HARI &quot;H&quot; PENCOBLOSAN, DIKEMAS DENGAN HIMBAUAN AGAR MELAKUKAN PENGHUKUMAN YAA YA INILAH PROPAGANDA LICIK BERKEDOK EDUKASI TAPI 96 JUTA LEBIH RAKYAT INDONESIA TELAH MENJAWABNYA DENGAN MENCOBLOS PRABOWO DI TPS TPS PADA 14 FEBRUARI 2024.. UNGGUL UNTUK PRABOWO, GAGAL TOTAL UNTUK PROPAGANDA LICIK!",7
